Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-08-26,1252.42,1252.42,1235.97,1235.97,,,,,,
2025-09-03,1237.97,1237.97,1237.97,1237.97,,,,,,
2025-09-05,1238.41,1238.76,1238.41,1238.76,,,,,,
2025-09-08,1239.7,1239.7,1239.46,1239.46,,,,,,
2025-09-22,1243.68,1243.68,1241.87,1241.87,,,,,,
2025-09-23,1242.1,1243.24,1242.1,1243.24,,,,,,
2025-09-24,1243.48,1243.94,1242.88,1243.94,,,,,,
2025-09-25,1244.17,1244.17,1244.15,1244.15,,,,,,
2025-09-26,1244.39,1246,1244.38,1246.0,,,,,,
2025-10-06,1244.13,1245.6,1244.12,1245.6,,,,,,
2025-10-16,1253.09,1254.48,1253.08,1254.48,,,,,,
2025-10-21,1256.77,1256.77,1256.3,1256.3,,,,,,
2025-10-31,1256.89,1256.9,1256.88,1256.9,,,,,,
2025-11-10,1258.86,1258.86,1258.85,1258.85,,,,,,
2025-12-11,1259.09,1259.12,1258.34,1258.34,,,,,,
2025-12-19,1256.21,1256.21,1255.55,1255.9,,,,,,
2026-01-14,1259.32,1259.32,1256.79,1256.79,,,,,,
2026-02-01,1251.09,1251.09,1250.85,1250.85,nan,nan,,,,
2026-02-06,1258.26,1258.29,1258.26,1258.29,nan,nan,,,,
2026-02-09,1259.02,1259.02,1258.09,1258.09,nan,nan,,,,
2026-02-19,1262.95,1262.95,1262.71,1262.71,nan,nan,,,,
2026-03-05,1263.16,1263.16,1261.94,1261.94,nan,nan,,,,
2026-03-19,1259.9,1259.9,1259.66,1259.66,nan,nan,,,,
2026-03-30,1246.89,1249.29,1246.89,1249.29,nan,nan,,,,
2026-04-01,1250.03,1250.03,1249.79,1249.79,nan,nan,,,,
2026-04-02,1250.03,1250.03,1245.99,1245.99,nan,nan,,,,
2026-04-06,1246.99,1246.99,1244.25,1245.0,nan,nan,,,,
2026-04-07,1245.25,1245.25,1244.0,1244.0,nan,nan,,,,
2026-04-22,1259.49,1259.49,1257.98,1257.98,nan,nan,,,,
2026-04-23,1258.23,1258.23,1257.13,1257.13,nan,nan,,,,
2026-04-27,1257.33,1257.73,1257.33,1257.33,nan,nan,,,,
2026-04-28,1257.58,1258.89,1257.58,1258.89,nan,nan,,,,
2026-04-29,1259.13,1259.13,1255.72,1255.72,nan,nan,,,,
2026-04-30,1255.97,1255.97,1250.43,1250.43,nan,nan,,,,
2026-05-04,1251.44,1251.53,1251.44,1251.53,nan,nan,,,,
2026-05-05,1251.78,1251.78,1251.68,1251.78,nan,nan,,,,
2026-05-06,1252.03,1252.82,1252.03,1252.82,nan,nan,,,,
2026-05-07,1253.06,1254.45,1253.06,1254.45,nan,nan,,,,
2026-05-08,1254.69,1255.36,1254.69,1255.36,nan,nan,,,,
2026-05-11,1256.12,1256.12,1256.08,1256.08,nan,nan,,,,
2026-05-12,1256.33,1256.33,1255.03,1255.03,nan,nan,,,,
2026-05-13,1255.28,1255.29,1255.28,1255.29,nan,nan,,,,
2026-05-14,1255.54,1255.54,1254.85,1254.85,nan,nan,,,,
